faixa_etaria,participa_apostas,reserva_financeira,resgate_imediato,poupanca,tesouro,renda_fixa,renda_variavel,reserva_valor,nivel_conhecimento,objetivo_financeiro,decisao_financeira,jornada_financeira,conselho_financeiro,email
26 - 40,Não Participo Desse Tipo De Jogo,Não,Não possuo a reserva,Sim,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Sim,Intermediário,Viver de renda,Busco equilibrar segurança e rentabilidade,nan,nan,nan
60+,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Não,Não possuo a reserva,Não,Não,Não,Não,Não,Avançado,Construir patrimônio,"Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
26 - 40,Não Participo Desse Tipo De Jogo,Sim,Sim,Sim,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Iniciante,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
41-60,Não Participo Desse Tipo De Jogo,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não,Sim,Intermediário,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
60+,Não Participo Desse Tipo De Jogo,Não,Não possuo a reserva,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não tenho conhecimento sobre esse tipo de investimento,Avançado,Construir patrimônio,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
18 - 25,Não Participo Desse Tipo De Jogo,Sim,Não possuo a reserva,Não,Sim,Sim,Sim,Não,Avançado,Construir patrimônio,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
60+,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Sim,Não possuo a reserva,Não,Sim,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Avançado,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Busco equilibrar segurança e rentabilidade,nan,nan,nan
26 - 40,"Sim, Mas De Forma Eventual E Controlada",Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Não,Sim,Avançado,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Busco equilibrar segurança e rentabilidade,nan,nan,nan
60+,"Sim, Mas De Forma Eventual E Controlada",Não,Não,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Intermediário,Comprar uma casa,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
26 - 40,Não Participo Desse Tipo De Jogo,Não,Sim,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não,Sim,Avançado,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
60+,Não Participo Desse Tipo De Jogo,Sim,Sim,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não,Sim,Intermediário,Comprar uma casa,Busco equilibrar segurança e rentabilidade,nan,nan,nan
26 - 40,Não Participo Desse Tipo De Jogo,Não,Não possuo a reserva,Sim,Não,Não,Não,Sim,Avançado,Comprar uma casa,Busco equilibrar segurança e rentabilidade,nan,nan,nan
18 - 25,Não Participo Desse Tipo De Jogo,Não,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Avançado,Viver de renda,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
41-60,"Sim, Mas De Forma Eventual E Controlada",Não,Não possuo a reserva,Não,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Sim,Avançado,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
60+,Não Participo Desse Tipo De Jogo,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Não tenho conhecimento sobre esse tipo de investimento,Sim,Intermediário,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
26 - 40,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Sim,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Não,Intermediário,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)","Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
41-60,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Não,Não possuo a reserva,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Sim,Sim,Iniciante,Viver de renda,Busco equilibrar segurança e rentabilidade,nan,nan,nan
60+,Não Participo Desse Tipo De Jogo,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não tenho conhecimento sobre esse tipo de investimento,Intermediário,Construir patrimônio,"Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
18 - 25,Não Participo Desse Tipo De Jogo,Sim,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Avançado,Construir patrimônio,Busco equilibrar segurança e rentabilidade,nan,nan,nan
18 - 25,Não Participo Desse Tipo De Jogo,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Intermediário,Construir patrimônio,"Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
18 - 25,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Sim,Não possuo a reserva,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não tenho conhecimento sobre esse tipo de investimento,Sim,Sim,Intermediário,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
60+,"Sim, Mas De Forma Eventual E Controlada",Não,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Intermediário,Viver de renda,Busco equilibrar segurança e rentabilidade,nan,nan,nan
60+,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Intermediário,Viver de renda,Busco equilibrar segurança e rentabilidade,nan,nan,nan
18 - 25,"Sim, Mas De Forma Eventual E Controlada",Não,Não,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Sim,Avançado,Viver de renda,Busco equilibrar segurança e rentabilidade,nan,nan,nan
60+,"Sim, Mas De Forma Eventual E Controlada",Não,Sim,Sim,Sim,Não,Sim,Sim,Iniciante,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
26 - 40,Não Participo Desse Tipo De Jogo,Sim,Não possuo a reserva,Não,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Avançado,Construir patrimônio,Busco equilibrar segurança e rentabilidade,nan,nan,nan
26 - 40,Não Participo Desse Tipo De Jogo,Sim,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Sim,Avançado,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Busco equilibrar segurança e rentabilidade,nan,nan,nan
41-60,Não Participo Desse Tipo De Jogo,Sim,Sim,Sim,Sim,Sim,Não,Sim,Avançado,Comprar uma casa,Busco equilibrar segurança e rentabilidade,nan,nan,nan
26 - 40,"Sim, Mas De Forma Eventual E Controlada",Não,Sim,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Não,Intermediário,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)","Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
18 - 25,Não Participo Desse Tipo De Jogo,Não,Sim,Não,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Intermediário,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Busco equilibrar segurança e rentabilidade,nan,nan,nan
26 - 40,Não Participo Desse Tipo De Jogo,Não,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Iniciante,Viver de renda,Busco equilibrar segurança e rentabilidade,nan,nan,nan
60+,"Sim, Mas De Forma Eventual E Controlada",Não,Não possuo a reserva,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Iniciante,Construir patrimônio,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
60+,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Não,Não possuo a reserva,Não,Não,Não,Sim,Não,Intermediário,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
26 - 40,Não Participo Desse Tipo De Jogo,Não,Sim,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Avançado,Viver de renda,"Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
26 - 40,Não Participo Desse Tipo De Jogo,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não tenho conhecimento sobre esse tipo de investimento,Sim,Iniciante,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
60+,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Sim,Não possuo a reserva,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Avançado,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)","Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
26 - 40,Não Participo Desse Tipo De Jogo,Não,Não possuo a reserva,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Sim,Iniciante,Viver de renda,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
41-60,"Sim, Mas De Forma Eventual E Controlada",Não,Não,Não,Não,Sim,Não,Não,Avançado,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)","Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
41-60,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Não,Não possuo a reserva,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Avançado,Comprar uma casa,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
26 - 40,"Sim, Mas De Forma Eventual E Controlada",Não,Não possuo a reserva,Não tenho conhecimento sobre esse tipo de investimento,Não,Sim,Não,Sim,Avançado,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
18 - 25,Não Participo Desse Tipo De Jogo,Não,Não,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Iniciante,Construir patrimônio,Busco equilibrar segurança e rentabilidade,nan,nan,nan
26 - 40,Não Participo Desse Tipo De Jogo,Sim,Sim,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Iniciante,Viver de renda,Busco equilibrar segurança e rentabilidade,nan,nan,nan
26 - 40,"Sim, Mas De Forma Eventual E Controlada",Não,Não,Sim,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não,Iniciante,Construir patrimônio,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
18 - 25,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Sim,Não possuo a reserva,Não,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não tenho conhecimento sobre esse tipo de investimento,Sim,Iniciante,Construir patrimônio,Busco equilibrar segurança e rentabilidade,nan,nan,nan
18 - 25,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Não,Não possuo a reserva,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Não,Avançado,Viver de renda,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
41-60,Não Participo Desse Tipo De Jogo,Não,Não possuo a reserva,Não tenho conhecimento sobre esse tipo de investimento,Sim,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Intermediário,Comprar uma casa,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
60+,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Sim,Não possuo a reserva,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Sim,Sim,Iniciante,Construir patrimônio,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
