Faixa etária,Participa de apostas,Reserva financeira,Resgate imediato,Poupança,Tesouro Nacional,Renda fixa,Renda variável,Reserva de valor,Nível de conhecimento,Objetivo financeiro,Decisão financeira,Jornada financeira (opcional),Conselho financeiro (opcional),E-mail (opcional)
60+,"Sim, mas de forma eventual e controlada",Não,Não,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Intermediário,Comprar uma casa,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
26 - 40,Não participo desse tipo de jogo,Não,Sim,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não,Sim,Avançado,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
60+,Não participo desse tipo de jogo,Sim,Sim,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não,Sim,Intermediário,Comprar uma casa,Busco equilibrar segurança e rentabilidade,,,
26 - 40,Não participo desse tipo de jogo,Não,Não possuo a reserva,Sim,Não,Não,Não,Sim,Avançado,Comprar uma casa,Busco equilibrar segurança e rentabilidade,,,
18 - 25,Não participo desse tipo de jogo,Não,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Avançado,Viver de renda,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
41-60,"Sim, mas de forma eventual e controlada",Não,Não possuo a reserva,Não,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Sim,Avançado,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",,,
60+,Não participo desse tipo de jogo,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Não tenho conhecimento sobre esse tipo de investimento,Sim,Intermediário,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",,,
26 - 40,"Sim, com frequência, e às vezes sinto dificuldade em controlar os gastos",Sim,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Não,Intermediário,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)","Prefiro decisões seguras, mesmo que o retorno seja menor",,,
41-60,"Sim, com frequência, e às vezes sinto dificuldade em controlar os gastos",Não,Não possuo a reserva,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Sim,Sim,Iniciante,Viver de renda,Busco equilibrar segurança e rentabilidade,,,
60+,Não participo desse tipo de jogo,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não tenho conhecimento sobre esse tipo de investimento,Intermediário,Construir patrimônio,"Prefiro decisões seguras, mesmo que o retorno seja menor",,,
18 - 25,Não participo desse tipo de jogo,Sim,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Avançado,Construir patrimônio,Busco equilibrar segurança e rentabilidade,,,
18 - 25,Não participo desse tipo de jogo,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Intermediário,Construir patrimônio,"Prefiro decisões seguras, mesmo que o retorno seja menor",,,
18 - 25,"Sim, com frequência, e às vezes sinto dificuldade em controlar os gastos",Sim,Não possuo a reserva,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não tenho conhecimento sobre esse tipo de investimento,Sim,Sim,Intermediário,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",,,
60+,"Sim, mas de forma eventual e controlada",Não,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Intermediário,Viver de renda,Busco equilibrar segurança e rentabilidade,,,
60+,"Sim, com frequência, e às vezes sinto dificuldade em controlar os gastos",Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Intermediário,Viver de renda,Busco equilibrar segurança e rentabilidade,,,
18 - 25,"Sim, mas de forma eventual e controlada",Não,Não,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Sim,Avançado,Viver de renda,Busco equilibrar segurança e rentabilidade,,,
60+,"Sim, mas de forma eventual e controlada",Não,Sim,Sim,Sim,Não,Sim,Sim,Iniciante,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",,,
26 - 40,Não participo desse tipo de jogo,Sim,Não possuo a reserva,Não,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Avançado,Construir patrimônio,Busco equilibrar segurança e rentabilidade,,,
26 - 40,Não participo desse tipo de jogo,Sim,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Sim,Avançado,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Busco equilibrar segurança e rentabilidade,,,
41-60,Não participo desse tipo de jogo,Sim,Sim,Sim,Sim,Sim,Não,Sim,Avançado,Comprar uma casa,Busco equilibrar segurança e rentabilidade,,,
26 - 40,"Sim, mas de forma eventual e controlada",Não,Sim,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Não,Intermediário,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)","Prefiro decisões seguras, mesmo que o retorno seja menor",,,
18 - 25,Não participo desse tipo de jogo,Não,Sim,Não,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Intermediário,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Busco equilibrar segurança e rentabilidade,,,
26 - 40,Não participo desse tipo de jogo,Não,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Iniciante,Viver de renda,Busco equilibrar segurança e rentabilidade,,,
60+,"Sim, mas de forma eventual e controlada",Não,Não possuo a reserva,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Iniciante,Construir patrimônio,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
60+,"Sim, com frequência, e às vezes sinto dificuldade em controlar os gastos",Não,Não possuo a reserva,Não,Não,Não,Sim,Não,Intermediário,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
26 - 40,Não participo desse tipo de jogo,Não,Sim,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Avançado,Viver de renda,"Prefiro decisões seguras, mesmo que o retorno seja menor",,,
26 - 40,Não participo desse tipo de jogo,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não tenho conhecimento sobre esse tipo de investimento,Sim,Iniciante,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",,,
60+,"Sim, com frequência, e às vezes sinto dificuldade em controlar os gastos",Sim,Não possuo a reserva,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Avançado,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)","Prefiro decisões seguras, mesmo que o retorno seja menor",,,
26 - 40,Não participo desse tipo de jogo,Não,Não possuo a reserva,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Sim,Iniciante,Viver de renda,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
41-60,"Sim, mas de forma eventual e controlada",Não,Não,Não,Não,Sim,Não,Não,Avançado,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)","Prefiro decisões seguras, mesmo que o retorno seja menor",,,
41-60,"Sim, com frequência, e às vezes sinto dificuldade em controlar os gastos",Não,Não possuo a reserva,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Avançado,Comprar uma casa,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
26 - 40,"Sim, mas de forma eventual e controlada",Não,Não possuo a reserva,Não tenho conhecimento sobre esse tipo de investimento,Não,Sim,Não,Sim,Avançado,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",,,
18 - 25,Não participo desse tipo de jogo,Não,Não,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Iniciante,Construir patrimônio,Busco equilibrar segurança e rentabilidade,,,
26 - 40,Não participo desse tipo de jogo,Sim,Sim,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Iniciante,Viver de renda,Busco equilibrar segurança e rentabilidade,,,
26 - 40,"Sim, mas de forma eventual e controlada",Não,Não,Sim,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não,Iniciante,Construir patrimônio,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
18 - 25,"Sim, com frequência, e às vezes sinto dificuldade em controlar os gastos",Sim,Não possuo a reserva,Não,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não tenho conhecimento sobre esse tipo de investimento,Sim,Iniciante,Construir patrimônio,Busco equilibrar segurança e rentabilidade,,,
18 - 25,"Sim, com frequência, e às vezes sinto dificuldade em controlar os gastos",Não,Não possuo a reserva,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Não,Avançado,Viver de renda,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
41-60,Não participo desse tipo de jogo,Não,Não possuo a reserva,Não tenho conhecimento sobre esse tipo de investimento,Sim,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Intermediário,Comprar uma casa,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
60+,"Sim, com frequência, e às vezes sinto dificuldade em controlar os gastos",Sim,Não possuo a reserva,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Sim,Sim,Iniciante,Construir patrimônio,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
